id,title ,price ,category,date,owner_id
1,Zakup samochodu,20400,car,2018-11-21,29
2,Ubezpieczenie ,100,car,2018-12-01,29
3,Przegląd ,100,car,2018-12-01,29
4,Rejestracja pojazdu,256,car,2018-12-01,29
5,Opony zimowe + felgi 17' + wyważenie i założenie,750,car,2018-12-01,29
6,Ubezpieczenie ,2000,car,2018-12-01,29
7,"Wymiana rozrządu, oleju, filtrów - powietrza i oleju, filtru kabinowego, plynu chlodniczego, uszczelki pokrywy górnej silnika",1410,car,2018-12-01,29
8,Gaz STAG,2900,car,2018-12-01,29
9,Wymiana oleju w skrzyni biegów,281,car,2019-01-01,29
10,Wymiana środkowej części układu wydechowego,870,car,2019-01-01,29
11,"Wymiana zacisku tylnego hamulca, olej Motul 5W30 1L",541,car,2019-01-01,29
12,Radio Android (nastepnie zostało sprzedane),280,car,2019-02-01,29
13,Klucze do demontażu radia,18,car,2019-02-01,29
14,Fakra - SMA GPS przejsciowka,40,car,2019-02-01,29
15,Gniazdo samochodowe,27,car,2019-02-01,29
16,Wkład lusterka,25,car,2019-04-01,29
17,Tarcze i klocki hamulcowe tył + diagnostyka,750,car,2019-04-01,29
18,Obudowa lusterka (druga czesc Pawel G.),125,car,2019-04-01,29
19,Wymiana oleju motul 5W30 + 1 l zapasowy,300,car,2019-06-01,29
20,Wywazenie kół ,50,car,2019-07-01,29
21,Zamek wlewu paliwa,450,car,2019-07-01,29
22,Serwis gazu,100,car,2019-07-01,29
23,skrzynia M32 - lozyska + mechanizm roznicowy,5326,car,2019-09-01,29
24,"Plyn hamulcowy, klocki przod, sprezyny przod, tuleje wahaczy tyl, itp. (wykaz na fakturze)",2874,car,2019-09-01,29
25,Zapasowy litr oleju motul 5W30,36,car,2019-09-01,29
26,Ubezpieczenie OC + AC ,1900,car,2019-11-01,29
27,Wymiana oleju i filtrów oleju i powietrza,450,car,2019-11-01,29
28,Przegląd samochodu,162,car,2019-11-01,29
29,Wymiana oleju w skrzyni biegów - wymiana co 40k km; nastepny przeglad 220k,339,car,2020-02-01,29
30,Wymiana opon i przytwierdzenie oslonki termicznej,140,car,2020-02-01,29
31,Wentylator dmuchawy ,550,car,2020-02-01,29
32,"Cewka sprezarki klimatyzacji, odgrzybienie, nabicie, filtr kabinowy",737,car,2020-07-01,29
33,Wycieraczki,70,car,2020-07-01,29
34,Wymiana Oleju,291,car,2020-07-01,29
35,Zawieszenie - ,310,car,2020-10-01,29
36,Wymiana opon + wywazanie,120,car,2020-12-04,29
37,"Wymiana opon, olejow, filtrów",655,car,2021-04-01,29
38,Przegląd gazu,100,car,2021-04-01,29
39,Oslonka spryskiwacza + lakier,130,car,2021-04-01,29
40,"Uszczelka pokrywy gornej silnika, naprawa opony, swieca zaplonowa ngk",391,car,2021-06-01,29
41,Polerowanie swiatel,150,car,2021-08-01,29
42,"Wymiana rozrządu (kolejny przy 275 kkkm), oleju, filtrów - powietrza i oleju, filtru kabinowego, plynu chlodniczego, kół",1756,car,2021-11-03,29
43,Ubezpieczenie,1750,car,2021-11-10,29
44,Przegląd gazu,100,car,2022-01-01,29
45,Wymiana oleju w skrzyni biegów - wymiana co 40k km; nastepny przeglad 262k,350,car,2022-02-01,29
46,"Zawieszenie, Wymiana kół",600,car,2022-05-05,29
47,"Cieknący olej z silnika, wymiana oleju (5W30 - 1L)",1500,car,2022-05-10,29
48,Olej 5W30 - 1L,60,car,2022-07-15,29
49,Płyn chlodniczy ,100,car,2022-09-20,29
50,Zbiornik wyrównawczy płynu chłodniczego,325,car,2022-09-27,29
51,Wymiana Oleju w silniku + filtr powierza,377,car,2022-10-03,29
52,Naprawa Gazu,250,car,2022-10-03,29
53,Przegląd gazu,200,car,2022-10-03,29
54,Przegląd samochodu,160,car,2022-10-08,29
55,Opony zimowe,1300,car,2022-10-08,29
56,Ubezpieczenie samochodu,1844,car,2022-10-08,29
57,Akumulator,380,car,2022-12-19,29
58,Wymiana Oleju w silniku + filtr powierza,434,car,2023-04-13,29
59,Stojak na koła,100,car,2023-04-15,29
60,nowe opony letnie Bridgestone,1520,car,2023-04-27,29
